sex_fam;individuals;voc_type;n
Unfam_FF;F18rouge-F4vert;complex;13
Unfam_FF;F18rouge-F4vert;Down;2
Unfam_FF;F18rouge-F4vert;flat;586
Unfam_FF;F18rouge-F4vert;longdown;0
Unfam_FF;F18rouge-F4vert;longdown_trill;0
Unfam_FF;F18rouge-F4vert;trill;0
Unfam_FF;F18rouge-F4vert;up;179
Unfam_FF;F19rouge-F6vert;complex;2
Unfam_FF;F19rouge-F6vert;Down;0
Unfam_FF;F19rouge-F6vert;flat;701
Unfam_FF;F19rouge-F6vert;longdown;0
Unfam_FF;F19rouge-F6vert;longdown_trill;0
Unfam_FF;F19rouge-F6vert;trill;0
Unfam_FF;F19rouge-F6vert;up;62
Fam_FF;Fcage2a-Fcage2b;complex;22
Fam_FF;Fcage2a-Fcage2b;Down;0
Fam_FF;Fcage2a-Fcage2b;flat;1711
Fam_FF;Fcage2a-Fcage2b;longdown;0
Fam_FF;Fcage2a-Fcage2b;longdown_trill;0
Fam_FF;Fcage2a-Fcage2b;trill;0
Fam_FF;Fcage2a-Fcage2b;up;260
Fam_FF;Fcage2c-Fcage2c;complex;325
Fam_FF;Fcage2c-Fcage2c;Down;89
Fam_FF;Fcage2c-Fcage2c;flat;982
Fam_FF;Fcage2c-Fcage2c;longdown;16
Fam_FF;Fcage2c-Fcage2c;longdown_trill;0
Fam_FF;Fcage2c-Fcage2c;trill;0
Fam_FF;Fcage2c-Fcage2c;up;399
Fam_FF;Fcage3a-Fcage3b;complex;35
Fam_FF;Fcage3a-Fcage3b;Down;0
Fam_FF;Fcage3a-Fcage3b;flat;1509
Fam_FF;Fcage3a-Fcage3b;longdown;0
Fam_FF;Fcage3a-Fcage3b;longdown_trill;0
Fam_FF;Fcage3a-Fcage3b;trill;0
Fam_FF;Fcage3a-Fcage3b;up;827
Fam_FF;Fcage3c-Fcage3d;complex;0
Fam_FF;Fcage3c-Fcage3d;Down;0
Fam_FF;Fcage3c-Fcage3d;flat;411
Fam_FF;Fcage3c-Fcage3d;longdown;0
Fam_FF;Fcage3c-Fcage3d;longdown_trill;0
Fam_FF;Fcage3c-Fcage3d;trill;0
Fam_FF;Fcage3c-Fcage3d;up;80
Fam_FF;Fcage3e-Fcage3f;complex;108
Fam_FF;Fcage3e-Fcage3f;Down;22
Fam_FF;Fcage3e-Fcage3f;flat;2201
Fam_FF;Fcage3e-Fcage3f;longdown;4
Fam_FF;Fcage3e-Fcage3f;longdown_trill;0
Fam_FF;Fcage3e-Fcage3f;trill;0
Fam_FF;Fcage3e-Fcage3f;up;807
Unfam_MM;M14bleu-Mcage15;complex;0
Unfam_MM;M14bleu-Mcage15;Down;0
Unfam_MM;M14bleu-Mcage15;flat;295
Unfam_MM;M14bleu-Mcage15;longdown;0
Unfam_MM;M14bleu-Mcage15;longdown_trill;0
Unfam_MM;M14bleu-Mcage15;trill;0
Unfam_MM;M14bleu-Mcage15;up;1
Unfam_MM;M15bleu-Mcage15;complex;0
Unfam_MM;M15bleu-Mcage15;Down;1
Unfam_MM;M15bleu-Mcage15;flat;407
Unfam_MM;M15bleu-Mcage15;longdown_trill;0
Unfam_MM;M15bleu-Mcage15;longdown;0
Unfam_MM;M15bleu-Mcage15;trill;0
Unfam_MM;M15bleu-Mcage15;up;19
Fam_MF;M1630-F1rouge;complex;220
Fam_MF;M1630-F1rouge;Down;153
Fam_MF;M1630-F1rouge;flat;1477
Fam_MF;M1630-F1rouge;longdown;22
Fam_MF;M1630-F1rouge;longdown_trill;0
Fam_MF;M1630-F1rouge;trill;6
Fam_MF;M1630-F1rouge;up;23
Fam_MF;M1665-F1678;complex;18
Fam_MF;M1665-F1678;flat;1544
Fam_MF;M1665-F1678;trill;3
Fam_MF;M1665-F1678;Down;0
Fam_MF;M1665-F1678;longdown;0
Fam_MF;M1665-F1678;longdown_trill;0
Fam_MF;M1665-F1678;up;23
Unfam_MM;M17bleu-Mcage15;complex;18
Unfam_MM;M17bleu-Mcage15;Down;6
Unfam_MM;M17bleu-Mcage15;flat;1239
Unfam_MM;M17bleu-Mcage15;longdown;1
Unfam_MM;M17bleu-Mcage15;trill;0
Unfam_MM;M17bleu-Mcage15;up;41
Unfam_MM;M17bleu-Mcage15;longdown_trill;0
Fam_MF;M18bleu-F20rouge;complex;8
Fam_MF;M18bleu-F20rouge;Down;3
Fam_MF;M18bleu-F20rouge;flat;545
Fam_MF;M18bleu-F20rouge;longdown;0
Fam_MF;M18bleu-F20rouge;longdown_trill;0
Fam_MF;M18bleu-F20rouge;trill;2
Fam_MF;M18bleu-F20rouge;up;23
Unfam_MM;M18bleu-Mcage7;complex;1
Unfam_MM;M18bleu-Mcage7;Down;0
Unfam_MM;M18bleu-Mcage7;flat;524
Unfam_MM;M18bleu-Mcage7;longdown;0
Unfam_MM;M18bleu-Mcage7;longdown_trill;0
Unfam_MM;M18bleu-Mcage7;trill;0
Unfam_MM;M18bleu-Mcage7;up;22
Unfam_MF;M19Bleu-F5Vert;complex;62
Unfam_MF;M19Bleu-F5Vert;Down;12
